timestamp, T_WS_x, T_WS_y, T_WS_z, T_WS_qx, T_WS_qy, T_WS_qz, T_WS_qw
1523957607428940456,-2.58455e-05,-0.000124736,-0.000127995,1.2348e-05,-0.000146023,-8.12677e-05,1
1523957607459971323,-0.00128835,-0.00622545,-0.00637181,9.70238e-05,-0.000886431,-0.000517219,0.999999
1523957607485257276,-0.00370756,-0.0179745,-0.0184009,0.000135899,-0.00144649,-0.000859793,0.999999
1523957607555039678,-0.016844,-0.0818356,-0.0838337,0.000166509,-0.00291901,-0.00169306,0.999994
1523957607575020001,-0.0223522,-0.108605,-0.111265,0.000138281,-0.00331596,-0.00190876,0.999993
1523957607603547761,-0.0315687,-0.153392,-0.157146,7.09049e-05,-0.00388376,-0.00219861,0.99999
1523957607629044556,4.06656e-05,2.79051e-05,-0.000371314,-0.689463,0.138844,0.000533417,0.710888
1523957607705628426,0.000158941,0.000327614,-0.00135882,-0.689787,0.137483,0.0012345,0.710838
1523957607723676586,0.000180507,0.000390504,-0.00166826,-0.689869,0.137226,0.00139086,0.710808
1523957607859468916,0.000391768,0.00139965,-0.0053753,-0.690529,0.135506,0.0026429,0.710494
1523957607970059348,0.000568063,0.00278812,-0.0101139,-0.691111,0.134498,0.00365102,0.710114
1523957608064865430,0.000637156,0.00432496,-0.0153862,-0.691675,0.134022,0.00451298,0.70965
1523957608160219000,0.000681403,0.00618487,-0.0218542,-0.692236,0.133807,0.00550231,0.709136
1523957608249007520,0.000610901,0.00831736,-0.028947,-0.692808,0.133814,0.0063891,0.70857
1523957608338885610,0.000344244,0.0108469,-0.0371573,-0.693413,0.13407,0.00730408,0.70792
1523957608418605018,-6.01854e-05,0.0134241,-0.0452769,-0.694026,0.134387,0.00810517,0.70725
1523957608459488635,-0.000334128,0.0148966,-0.0497453,-0.694365,0.134603,0.008499,0.706871
1523957608464502806,0.00914436,0.00688192,-0.0601557,-0.693504,0.136783,0.0108353,0.707266
1523957608538808547,0.0115535,0.00833439,-0.0696616,-0.694093,0.137071,0.0114986,0.706621
1523957608599939941,0.0137272,0.00968531,-0.0780744,-0.694609,0.137259,0.011992,0.70607
1523957608605051228,0.0139159,0.00980993,-0.0787998,-0.694651,0.137271,0.0120325,0.706025
1523957608610393346,-0.109788,0.040049,-0.0515772,-0.697553,0.127174,0.00232877,0.705153
1523957608674374354,-0.124581,0.045958,-0.0594821,-0.698113,0.127382,0.00288123,0.704559
1523957608730582389,-0.138286,0.0515939,-0.0669008,-0.698617,0.127507,0.00329003,0.704035
1523957608761412414,-0.146092,0.0548138,-0.0711897,-0.698901,0.127552,0.00350304,0.703745
1523957608764178871,-0.146801,0.0551109,-0.0715802,-0.698925,0.127546,0.00352587,0.703722
1523957608820131279,-0.161531,0.0613612,-0.0797638,-0.699388,0.127624,0.00387754,0.703245
1523957608874015728,-0.176364,0.0677586,-0.0881223,-0.699786,0.1277,0.0041773,0.702834
1523957608915086905,-0.18809,0.0729238,-0.0947685,-0.700071,0.127738,0.00438186,0.702542
1523957608956290177,-0.200249,0.0783589,-0.101704,-0.700337,0.12776,0.00455474,0.702271
1523957608969073875,-0.238026,0.0796351,-0.267277,-0.701268,0.122797,0.00933245,0.702181
1523957609050516637,-0.266264,0.0905967,-0.291244,-0.701776,0.122381,0.00974046,0.701739
